,600036.SH,601166.SH
,招商银行,兴业银行
,收盘价(元),收盘价(元)
2006-2-7,3.9156,
2006-2-8,3.9156,
2006-2-9,3.9156,
2006-2-10,3.9156,
2006-2-13,3.9156,
2006-2-14,3.9156,
2006-2-15,3.9156,
2006-2-16,3.9156,
2006-2-17,3.9156,
2006-2-20,3.9156,
2006-2-21,3.9156,
2006-2-22,3.9156,
2006-2-23,3.9156,
2006-2-24,3.9156,
2006-2-27,4.2787,
2006-2-28,4.298,
2006-3-1,4.253,
2006-3-2,4.0924,
2006-3-3,4.0346,
2006-3-6,4.0539,
2006-3-7,3.9318,
2006-3-8,3.9511,
2006-3-9,3.9125,
2006-3-10,3.9639,
2006-3-13,4.0346,
2006-3-14,3.9703,
2006-3-15,4.0282,
2006-3-16,4.0346,
2006-3-17,3.9575,
2006-3-20,4.0346,
2006-3-21,4.1053,
2006-3-22,4.1374,
2006-3-23,4.0924,
2006-3-24,4.0153,
2006-3-27,4.1181,
2006-3-28,4.1502,
2006-3-29,4.1759,
2006-3-30,4.1631,
2006-3-31,4.131,
2006-4-3,4.298,
2006-4-4,4.4393,
2006-4-5,4.4329,
2006-4-6,4.3751,
2006-4-7,4.2723,
2006-4-10,4.3622,
2006-4-11,4.3365,
2006-4-12,4.3108,
2006-4-13,4.1824,
2006-4-14,4.2851,
2006-4-17,4.2851,
2006-4-18,4.253,
2006-4-19,4.2145,
2006-4-20,4.1824,
2006-4-21,4.2916,
2006-4-24,4.1952,
2006-4-25,4.1117,
2006-4-26,4.2594,
2006-4-27,4.2016,
2006-4-28,4.6192,
2006-5-8,4.8377,
2006-5-9,4.9147,
2006-5-10,4.8312,
2006-5-11,4.6963,
2006-5-12,4.7413,
2006-5-15,4.7606,
2006-5-16,4.7606,
2006-5-17,4.7156,
2006-5-18,4.5935,
2006-5-19,4.7413,
2006-5-22,4.6385,
2006-5-23,4.51,
2006-5-24,4.6128,
2006-5-25,4.7092,
2006-5-26,4.7477,
2006-5-29,4.7798,
2006-5-30,4.6963,
2006-5-31,4.6449,
2006-6-1,4.6963,
2006-6-2,4.6064,
2006-6-5,4.6192,
2006-6-6,4.6256,
2006-6-7,4.4008,
2006-6-8,4.4393,
2006-6-9,4.3558,
2006-6-12,4.4972,
2006-6-13,4.4907,
2006-6-14,4.4715,
2006-6-15,4.51,
2006-6-16,4.653,
2006-6-19,4.666,
2006-6-20,4.666,
2006-6-21,4.6595,
2006-6-22,4.7699,
2006-6-23,4.7699,
2006-6-26,4.9389,
2006-6-27,4.8999,
2006-6-28,4.8674,
2006-6-29,5.0104,
2006-6-30,5.0104,
2006-7-3,5.1729,
2006-7-4,5.1339,
2006-7-5,4.9129,
2006-7-6,4.9454,
2006-7-7,4.8414,
2006-7-10,4.9584,
2006-7-11,4.9844,
2006-7-12,4.9454,
2006-7-13,4.7375,
2006-7-14,4.8089,
2006-7-17,4.8609,
2006-7-18,4.7959,
2006-7-19,4.7375,
2006-7-20,4.8219,
2006-7-21,4.9649,
2006-7-24,4.9844,
2006-7-25,4.9714,
2006-7-26,5.0039,
2006-7-27,4.8804,
2006-7-28,4.8349,
2006-7-31,4.7829,
2006-8-1,4.744,
2006-8-2,4.7569,
2006-8-3,4.8674,
2006-8-4,4.8089,
2006-8-7,4.7894,
2006-8-8,4.8999,
2006-8-9,4.9129,
2006-8-10,5.0169,
2006-8-11,4.9779,
2006-8-14,5.0169,
2006-8-15,5.0949,
2006-8-16,5.1664,
2006-8-17,5.1339,
2006-8-18,5.1079,
2006-8-21,5.1079,
2006-8-22,5.2508,
2006-8-23,5.3873,
2006-8-24,5.5303,
2006-8-25,5.4393,
2006-8-28,5.4718,
2006-8-29,5.4783,
2006-8-30,5.4978,
2006-8-31,5.5628,
2006-9-1,5.4198,
2006-9-4,5.5173,
2006-9-5,5.7187,
2006-9-6,5.7187,
2006-9-7,5.6862,
2006-9-8,5.7772,
2006-9-11,5.8617,
2006-9-12,5.8292,
2006-9-13,5.9722,
